tau_ms,conditie,p_stabil,wilson_95_jos,wilson_95_sus,n_incercari
20,fara_compensare,1.0,0.93,1.0,50
20,naiv_u0,1.0,0.93,1.0,50
20,smith_buffer,1.0,0.93,1.0,50
30,fara_compensare,1.0,0.93,1.0,50
30,naiv_u0,1.0,0.93,1.0,50
30,smith_buffer,1.0,0.93,1.0,50
40,fara_compensare,1.0,0.93,1.0,50
40,naiv_u0,1.0,0.93,1.0,50
40,smith_buffer,1.0,0.93,1.0,50
50,fara_compensare,1.0,0.93,1.0,50
50,naiv_u0,0.76,0.63,0.86,50
50,smith_buffer,1.0,0.93,1.0,50
60,fara_compensare,0.84,0.71,0.92,50
60,naiv_u0,0.28,0.17,0.42,50
60,smith_buffer,1.0,0.93,1.0,50
70,fara_compensare,0.46,0.33,0.6,50
70,naiv_u0,0.02,0.0,0.1,50
70,smith_buffer,1.0,0.93,1.0,50
80,fara_compensare,0.0,0.0,0.07,50
80,naiv_u0,0.0,0.0,0.07,50
80,smith_buffer,1.0,0.93,1.0,50
100,fara_compensare,0.0,0.0,0.07,50
100,naiv_u0,0.0,0.0,0.07,50
100,smith_buffer,1.0,0.93,1.0,50
150,fara_compensare,0.0,0.0,0.07,50
150,naiv_u0,0.0,0.0,0.07,50
150,smith_buffer,0.96,0.87,0.99,50
200,fara_compensare,0.0,0.0,0.07,50
200,naiv_u0,0.0,0.0,0.07,50
200,smith_buffer,0.94,0.84,0.98,50
250,fara_compensare,0.0,0.0,0.07,50
250,naiv_u0,0.0,0.0,0.07,50
250,smith_buffer,0.72,0.58,0.83,50
300,fara_compensare,0.0,0.0,0.07,50
300,naiv_u0,0.0,0.0,0.07,50
300,smith_buffer,0.0,0.0,0.07,50
