t_s,x,y,state,gcs_up,saf_buffered,cells_pending,dist_link
0.00,6.00,6.00,LINKED,,,113,0.00
0.20,6.00,6.00,LINKED,,,0,0.00
0.40,6.00,6.00,LINKED,,,0,0.00
0.70,6.00,6.00,LINKED,,,0,0.00
0.90,6.00,6.00,LINKED,,,0,0.00
1.10,6.00,6.00,LINKED,,,0,0.00
1.30,6.02,6.07,LINKED,,,0,0.07
1.50,6.06,6.19,LINKED,,,0,0.20
1.70,6.12,6.35,LINKED,,,0,0.37
1.90,6.17,6.53,LINKED,,,0,0.55
2.10,6.22,6.76,LINKED,,,0,0.79
2.30,6.23,7.00,LINKED,,,13,0.25
2.50,6.19,7.25,LINKED,,,0,0.49
2.70,6.13,7.48,LINKED,,,0,0.72
2.90,6.05,7.70,LINKED,,,0,0.95
3.10,5.97,7.94,LINKED,,,8,1.21
3.30,5.89,8.19,LINKED,,,8,0.26
3.50,5.82,8.42,LINKED,,,0,0.50
3.70,5.75,8.67,LINKED,,,0,0.77
3.90,5.70,8.94,LINKED,,,0,1.04
4.20,5.63,9.33,LINKED,,,11,0.13
4.50,5.58,9.74,LINKED,,,0,0.54
4.80,5.55,10.16,LINKED,,,11,0.96
5.10,5.52,10.54,LINKED,,,0,1.35
5.40,5.51,10.96,LINKED,,,0,0.28
5.70,5.50,11.35,LINKED,,,12,0.67
6.00,5.50,11.76,LINKED,,,0,1.08
6.30,5.49,12.18,LINKED,,,12,1.50
6.60,5.49,12.59,LINKED,,,0,0.41
6.90,5.49,13.02,LINKED,,,12,0.84
7.20,5.50,13.41,LINKED,,,0,1.23
7.50,5.50,13.82,LINKED,,,0,0.14
7.80,5.50,14.22,LINKED,,,12,0.54
8.10,5.50,14.62,LINKED,,,0,0.94
8.30,5.50,14.91,LINKED,,,0,1.23
8.50,5.50,15.18,LINKED,,,12,1.50
8.70,5.50,15.45,LINKED,,,0,0.27
8.90,5.50,15.73,LINKED,,,0,0.55
9.10,5.50,16.02,LINKED,,,12,0.84
9.30,5.50,16.29,LINKED,,,0,1.11
9.50,5.50,16.54,LINKED,,,0,1.36
9.70,5.50,16.82,LINKED,,,0,0.14
9.90,5.50,17.09,LINKED,,,12,0.41
10.10,5.50,17.35,LINKED,,,0,0.67
10.30,5.50,17.62,LINKED,,,0,0.94
10.50,5.50,17.91,LINKED,,,0,1.23
10.70,5.50,18.18,LINKED,,,12,1.50
10.90,5.50,18.45,LINKED,,,0,0.27
11.10,5.50,18.73,LINKED,,,0,0.55
11.30,5.50,19.02,LINKED,,,12,0.84
11.50,5.50,19.29,LINKED,,,0,1.11
11.70,5.50,19.54,LINKED,,,0,1.36
11.90,5.50,19.82,LINKED,,,0,0.14
12.10,5.50,20.09,LINKED,,,12,0.41
12.30,5.50,20.35,LINKED,,,0,0.67
12.50,5.50,20.62,LINKED,,,0,0.94
12.70,5.50,20.91,LINKED,,,0,1.23
12.90,5.50,21.18,LINKED,,,12,1.50
13.10,5.50,21.45,LINKED,,,0,0.27
13.30,5.50,21.73,LINKED,,,0,0.55
13.50,5.50,22.02,LINKED,,,12,0.84
13.70,5.50,22.29,LINKED,,,0,1.11
13.90,5.50,22.54,LINKED,,,0,1.36
