t_s,x,y,state,gcs_up,saf_buffered,cells_pending,dist_link
0.00,3.00,6.00,LINKED,,,96,0.00
0.20,3.00,6.00,LINKED,,,96,0.00
0.40,3.00,6.00,LINKED,,,0,0.00
0.70,3.00,6.00,LINKED,,,0,0.00
0.90,3.00,6.00,LINKED,,,0,0.00
1.10,3.00,6.00,LINKED,,,0,0.00
1.30,2.98,6.07,LINKED,,,2,0.07
1.50,2.94,6.19,LINKED,,,2,0.20
1.70,2.88,6.35,LINKED,,,2,0.37
1.90,2.83,6.53,LINKED,,,0,0.55
2.10,2.78,6.76,LINKED,,,0,0.79
2.30,2.68,6.91,LINKED,,,0,0.18
2.50,2.55,6.99,LINKED,,,0,0.32
2.70,2.41,7.10,LINKED,,,5,0.50
2.90,2.27,7.25,LINKED,,,0,0.71
3.10,2.13,7.42,LINKED,,,0,0.93
3.30,2.05,7.63,LINKED,,,0,0.23
3.50,2.03,7.88,LINKED,,,0,0.47
3.70,2.04,8.13,LINKED,,,8,0.71
3.90,2.07,8.37,LINKED,,,0,0.95
4.20,2.14,8.73,LINKED,,,0,0.13
4.50,2.22,9.12,LINKED,,,8,0.53
4.80,2.29,9.49,LINKED,,,0,0.91
5.10,2.35,9.91,LINKED,,,0,1.33
5.40,2.36,10.30,LINKED,,,9,0.26
5.70,2.26,10.65,LINKED,,,0,0.61
6.00,2.12,11.00,LINKED,,,9,0.99
6.30,1.98,11.36,LINKED,,,10,1.37
6.60,1.85,11.72,LINKED,,,0,0.38
6.90,1.74,12.11,LINKED,,,4,0.79
7.20,1.66,12.48,LINKED,,,0,1.17
7.50,1.58,12.88,LINKED,,,0,0.13
7.80,1.43,13.21,LINKED,,,7,0.49
8.10,1.24,13.53,LINKED,,,0,0.86
8.30,1.12,13.74,LINKED,,,0,1.10
8.50,1.01,13.97,LINKED,,,0,1.36
8.70,0.90,14.21,LINKED,,,4,0.26
8.90,0.81,14.43,LINKED,,,0,0.50
9.10,0.74,14.68,LINKED,,,0,0.76
9.30,0.68,14.95,LINKED,,,0,1.03
9.50,0.63,15.20,LINKED,,,6,1.29
9.70,0.59,15.46,LINKED,,,0,0.13
9.90,0.56,15.74,LINKED,,,0,0.42
10.10,0.54,16.02,LINKED,,,6,0.70
10.30,0.52,16.29,LINKED,,,0,0.96
10.50,0.51,16.54,LINKED,,,0,1.22
10.70,0.50,16.82,LINKED,,,0,1.49
10.90,0.50,17.09,LINKED,,,7,0.27
11.10,0.49,17.34,LINKED,,,0,0.53
11.30,0.49,17.62,LINKED,,,0,0.80
11.50,0.49,17.90,LINKED,,,0,1.09
11.70,0.49,18.18,LINKED,,,7,1.36
11.90,0.49,18.44,LINKED,,,0,0.14
12.10,0.49,18.73,LINKED,,,0,0.43
12.30,0.49,19.02,LINKED,,,7,0.71
12.50,0.49,19.29,LINKED,,,0,0.98
12.70,0.50,19.54,LINKED,,,0,1.24
12.90,0.50,19.82,LINKED,,,0,1.52
13.10,0.50,20.09,LINKED,,,7,0.27
13.30,0.50,20.35,LINKED,,,0,0.53
13.50,0.50,20.62,LINKED,,,0,0.80
13.70,0.50,20.91,LINKED,,,0,1.09
13.90,0.50,21.18,LINKED,,,7,1.36
14.10,0.50,21.45,LINKED,,,0,0.14
14.30,0.50,21.73,LINKED,,,0,0.43
14.50,0.50,22.02,LINKED,,,7,0.71
14.70,0.50,22.29,LINKED,,,0,0.98
14.90,0.50,22.54,LINKED,,,0,1.24
15.10,0.50,22.82,LINKED,,,0,1.51
15.30,0.50,23.09,LINKED,,,7,0.27
15.50,0.50,23.35,LINKED,,,0,0.53
15.70,0.50,23.62,LINKED,,,0,0.80
15.90,0.50,23.91,LINKED,,,0,1.09
16.10,0.50,24.18,LINKED,,,7,1.36
16.30,0.50,24.45,LINKED,,,0,0.14
16.50,0.50,24.73,LINKED,,,0,0.43
16.70,0.50,25.02,LINKED,,,7,0.71
16.90,0.50,25.29,LINKED,,,0,0.98
17.10,0.50,25.54,LINKED,,,0,1.24
17.30,0.50,25.82,LINKED,,,0,0.14
17.50,0.50,26.09,LINKED,,,7,0.41
17.70,0.50,26.35,LINKED,,,0,0.67
17.90,0.50,26.62,LINKED,,,0,0.94
18.10,0.50,26.91,LINKED,,,0,1.23
18.30,0.50,27.18,LINKED,,,7,0.13
18.50,0.50,27.45,LINKED,,,0,0.40
18.70,0.50,27.73,LINKED,,,0,0.69
18.90,0.50,28.02,LINKED,,,7,0.97
19.10,0.50,28.29,LINKED,,,0,1.24
19.30,0.50,28.54,LINKED,,,0,0.13
19.50,0.50,28.82,LINKED,,,0,0.41
19.70,0.50,29.09,LINKED,,,7,0.68
19.90,0.50,29.35,LINKED,,,0,0.94
20.10,0.50,29.62,LINKED,,,0,1.21
20.30,0.52,29.89,LINKED,,,0,0.13
20.50,0.63,30.10,LINKED,,,7,0.35
20.70,0.81,30.25,LINKED,,,0,0.57
20.90,1.02,30.36,LINKED,,,7,0.79
21.10,1.24,30.44,LINKED,,,0,1.00
21.30,1.43,30.53,LINKED,,,0,0.11
21.50,1.57,30.70,LINKED,,,0,0.31
21.70,1.64,30.91,LINKED,,,0,0.53
21.90,1.69,31.14,LINKED,,,7,0.74
22.10,1.70,31.36,LINKED,,,7,0.95
22.30,1.70,31.61,LINKED,,,0,0.13
22.50,1.69,31.88,LINKED,,,0,0.40
22.70,1.67,32.15,LINKED,,,8,0.67
22.90,1.65,32.40,LINKED,,,0,0.91
23.10,1.63,32.66,LINKED,,,0,1.18
23.30,1.64,32.92,LINKED,,,0,0.12
23.50,1.75,33.12,LINKED,,,8,0.35
23.70,1.92,33.27,LINKED,,,0,0.56
23.90,2.12,33.38,LINKED,,,7,0.77
24.10,2.33,33.46,LINKED,,,0,0.97
24.30,2.54,33.54,LINKED,,,0,0.11
24.50,2.68,33.71,LINKED,,,0,0.32
24.70,2.75,33.91,LINKED,,,0,0.53
24.90,2.79,34.14,LINKED,,,8,0.74
25.10,2.79,34.36,LOCAL_EXPLORE,,,8,0.94
25.30,2.78,34.61,LOCAL_EXPLORE,,,8,1.18
25.50,2.75,34.88,LOCAL_EXPLORE,,,8,1.43
25.70,2.72,35.15,LOCAL_EXPLORE,,,17,1.69
25.90,2.69,35.39,LOCAL_EXPLORE,,,17,1.93
26.10,2.66,35.66,LOCAL_EXPLORE,,,17,2.19
26.30,2.63,35.94,LOCAL_EXPLORE,,,17,2.46
26.50,2.60,36.20,LOCAL_EXPLORE,,,26,2.72
26.70,2.58,36.46,LOCAL_EXPLORE,,,26,2.98
26.90,2.56,36.75,LOCAL_EXPLORE,,,26,3.27
27.10,2.55,37.03,LOCAL_EXPLORE,,,35,3.55
27.30,2.53,37.29,LOCAL_EXPLORE,,,35,3.81
27.50,2.54,37.53,LOCAL_EXPLORE,,,35,4.05
27.70,2.60,37.74,LOCAL_EXPLORE,,,35,4.26
27.90,2.69,37.92,LOCAL_EXPLORE,,,35,4.44
28.10,2.79,38.06,LOCAL_EXPLORE,,,44,4.59
28.30,2.90,38.18,LOCAL_EXPLORE,,,44,4.72
28.50,3.00,38.28,LOCAL_EXPLORE,,,51,4.82
28.70,3.10,38.35,LOCAL_EXPLORE,,,51,4.91
28.90,3.18,38.41,LOCAL_EXPLORE,,,51,4.98
29.10,3.25,38.45,LOCAL_EXPLORE,,,51,5.03
29.30,3.31,38.48,LOCAL_EXPLORE,,,51,5.07
29.50,3.36,38.50,LOCAL_EXPLORE,,,51,5.09
29.70,3.40,38.51,LOCAL_EXPLORE,,,51,5.11
29.90,3.43,38.52,LOCAL_EXPLORE,,,51,5.13
30.10,3.46,38.52,LOCAL_EXPLORE,,,51,5.14
30.30,3.47,38.52,LOCAL_EXPLORE,,,51,5.14
30.50,3.49,38.52,LOCAL_EXPLORE,,,51,5.14
30.70,3.50,38.52,LOCAL_EXPLORE,,,51,5.14
30.90,3.50,38.52,LOCAL_EXPLORE,,,51,5.14
31.10,3.51,38.52,LOCAL_EXPLORE,,,51,5.14
31.30,3.51,38.51,LOCAL_EXPLORE,,,51,5.14
31.50,3.51,38.51,LOCAL_EXPLORE,,,51,5.14
31.70,3.51,38.51,LOCAL_EXPLORE,,,51,5.14
31.90,3.51,38.51,LOCAL_EXPLORE,,,51,5.13
32.10,3.51,38.51,LOCAL_EXPLORE,,,51,5.13
32.30,3.51,38.50,LOCAL_EXPLORE,,,51,5.13
32.50,3.51,38.50,LOCAL_EXPLORE,,,51,5.13
32.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.13
32.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.13
33.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.13
33.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.13
33.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.13
33.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.13
33.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
34.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
34.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
34.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
34.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
34.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
35.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
35.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
35.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
35.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
35.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
36.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
36.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
36.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
36.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
36.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
37.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
37.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
37.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
37.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
37.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
38.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
38.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
38.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
38.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
38.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
39.10,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
39.30,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
39.50,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
39.70,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
39.90,3.50,38.50,LOCAL_EXPLORE,,,51,5.12
40.10,3.46,38.46,RETURN_TO_LINK,,,51,5.07
40.30,3.37,38.37,RETURN_TO_LINK,,,51,4.97
40.50,3.27,38.25,RETURN_TO_LINK,,,51,4.84
40.70,3.16,38.08,RETURN_TO_LINK,,,51,4.65
40.90,3.05,37.87,RETURN_TO_LINK,,,52,4.43
41.10,2.95,37.66,RETURN_TO_LINK,,,52,4.21
41.30,2.86,37.45,RETURN_TO_LINK,,,52,3.98
41.50,2.78,37.20,RETURN_TO_LINK,,,52,3.73
41.70,2.71,36.94,RETURN_TO_LINK,,,52,3.47
41.90,2.66,36.69,RETURN_TO_LINK,,,52,3.21
42.10,2.62,36.45,RETURN_TO_LINK,,,52,2.97
42.30,2.58,36.18,RETURN_TO_LINK,,,52,2.70
42.50,2.55,35.91,RETURN_TO_LINK,,,52,2.43
42.70,2.53,35.66,RETURN_TO_LINK,,,52,2.18
42.90,2.52,35.39,RETURN_TO_LINK,,,52,1.91
43.10,2.39,35.17,LOITER,,,52,1.68
43.30,2.15,34.99,LOITER,,,52,1.54
43.50,1.85,34.84,LOITER,,,52,1.49
43.70,1.52,34.70,LOITER,,,52,1.53
43.90,1.19,34.56,LOITER,,,52,1.65
44.10,0.88,34.40,LOITER,,,52,1.82
44.30,0.60,34.23,LOITER,,,52,1.99
44.50,0.36,34.04,LOITER,,,52,2.16
44.70,0.17,33.84,LOITER,,,52,2.31
44.90,0.01,33.61,LOITER,,,52,2.44
45.10,-0.10,33.38,LOITER,,,52,2.55
45.30,-0.16,33.14,LOITER,,,52,2.63
45.50,-0.18,32.89,LOITER,,,52,2.70
45.70,-0.16,32.64,LOITER,,,52,2.74
45.90,-0.11,32.40,LOITER,,,52,2.78
46.10,-0.01,32.16,LOITER,,,52,2.80
46.30,0.11,31.92,LOITER,,,52,2.81
46.50,0.26,31.70,LOITER,,,52,2.82
46.70,0.44,31.50,LOITER,,,52,2.83
46.90,0.64,31.31,LOITER,,,52,2.83
47.10,0.87,31.14,LOITER,,,52,2.83
47.30,1.11,31.00,LOITER,,,52,2.82
47.50,1.36,30.88,LOITER,,,52,2.82
47.70,1.63,30.79,LOITER,,,52,2.82
47.90,1.90,30.72,LOITER,,,52,2.82
48.10,2.19,30.68,LOITER,,,56,2.82
48.30,2.47,30.67,LOITER,,,56,2.82
48.50,2.75,30.68,LOITER,,,56,2.82
48.70,3.03,30.73,LOITER,,,63,2.82
48.90,3.31,30.80,LOITER,,,63,2.82
49.10,3.57,30.90,LOITER,,,63,2.82
49.30,3.82,31.02,LOITER,,,64,2.82
49.50,4.06,31.17,LOITER,,,70,2.82
49.70,4.29,31.34,LOITER,,,70,2.82
49.90,4.49,31.54,LOITER,,,70,2.82
50.10,4.68,31.75,LOITER,,,70,2.82
50.30,4.84,31.98,LOITER,,,70,2.82
50.50,4.98,32.23,LOITER,,,72,2.82
50.70,5.09,32.49,LOITER,,,79,2.82
50.90,5.18,32.75,LOITER,,,79,2.82
51.10,5.24,33.03,LOITER,,,81,2.82
51.30,5.27,33.31,LOITER,,,81,2.82
51.50,5.27,33.59,LOITER,,,81,2.82
51.70,5.25,33.87,LOITER,,,81,2.82
51.90,5.19,34.15,LOITER,,,83,2.82
52.10,5.11,34.42,LOITER,,,83,2.82
52.30,5.01,34.68,LOITER,,,83,2.82
52.50,4.87,34.93,LOITER,,,83,2.82
52.70,4.72,35.17,LOITER,,,83,2.82
52.90,4.54,35.39,LOITER,,,83,2.82
53.10,4.34,35.58,LOITER,,,83,2.82
53.30,4.12,35.76,LOITER,,,83,2.82
53.50,3.88,35.92,LOITER,,,83,2.82
53.70,3.63,36.05,LOITER,,,83,2.82
53.90,3.37,36.15,LOITER,,,83,2.82
54.10,3.10,36.23,LOITER,,,83,2.82
54.30,2.82,36.28,LOITER,,,83,2.82
54.50,2.54,36.31,LOITER,,,83,2.82
54.70,2.26,36.30,LOITER,,,83,2.82
54.90,1.98,36.27,LOITER,,,83,2.82
55.10,1.70,36.21,LOITER,,,83,2.82
55.30,1.43,36.12,LOITER,,,83,2.82
55.50,1.18,36.00,LOITER,,,83,2.82
55.70,0.93,35.86,LOITER,,,83,2.82
55.90,0.70,35.70,LOITER,,,83,2.82
56.10,0.49,35.52,LOITER,,,83,2.82
56.30,0.30,35.31,LOITER,,,83,2.82
56.50,0.12,35.09,LOITER,,,83,2.82
56.70,-0.02,34.85,LOITER,,,83,2.82
56.90,-0.15,34.59,LOITER,,,83,2.82
57.10,-0.25,34.33,LOITER,,,83,2.82
57.30,-0.32,34.05,LOITER,,,83,2.82
57.50,-0.36,33.77,LOITER,,,83,2.82
57.70,-0.37,33.49,LOITER,,,83,2.82
57.90,-0.36,33.21,LOITER,,,83,2.82
58.10,-0.32,32.93,LOITER,,,83,2.82
58.30,-0.25,32.66,LOITER,,,83,2.82
58.50,-0.15,32.39,LOITER,,,83,2.82
58.70,-0.03,32.14,LOITER,,,83,2.82
58.90,0.11,31.90,LOITER,,,83,2.82
59.10,0.28,31.67,LOITER,,,83,2.82
59.30,0.48,31.46,LOITER,,,83,2.82
59.50,0.69,31.28,LOITER,,,83,2.82
59.70,0.92,31.11,LOITER,,,83,2.82
59.90,1.16,30.97,LOITER,,,83,2.82
60.10,1.42,30.86,LOITER,,,75,2.82
60.30,1.61,30.85,LINKED,,,0,0.08
60.50,1.72,30.94,LINKED,,,0,0.07
60.70,1.78,31.09,LINKED,,,0,0.16
60.90,1.81,31.27,LINKED,,,0,0.33
61.10,1.80,31.46,LINKED,,,0,0.53
61.30,1.78,31.71,LINKED,,,0,0.13
61.50,1.76,31.97,LINKED,,,0,0.39
61.70,1.72,32.22,LINKED,,,0,0.64
61.90,1.69,32.47,LINKED,,,0,0.90
62.10,1.66,32.75,LINKED,,,0,1.18
62.30,1.63,33.03,LINKED,,,0,0.14
62.50,1.60,33.29,LINKED,,,0,0.40
62.70,1.58,33.54,LINKED,,,0,0.66
62.90,1.56,33.82,LINKED,,,0,0.93
63.10,1.54,34.09,LINKED,,,0,1.20
63.30,1.53,34.34,LINKED,,,0,0.12
