t_s,coverage,victims_found,cohesion,drones_in_fallback
0.0,0.0,0,1.0,0
0.1,0.0419,0,1.0,0
0.2,0.0419,0,1.0,0
0.3,0.0432,0,1.0,0
0.4,0.0432,0,1.0,0
0.5,0.0432,0,1.0,0
0.6,0.0432,0,1.0,0
0.7,0.0432,0,1.0,0
0.8,0.0432,0,1.0,0
0.9,0.0432,0,1.0,0
1.0,0.0432,0,1.0,0
1.1,0.0432,0,1.0,0
1.2,0.0432,0,1.0,0
1.3,0.0432,0,1.0,0
1.4,0.0436,0,1.0,0
1.5,0.0436,0,1.0,0
1.6,0.0436,0,1.0,0
1.7,0.0436,0,1.0,0
1.8,0.0436,0,1.0,0
1.9,0.0436,0,1.0,0
2.0,0.0436,0,1.0,0
2.1,0.0436,0,1.0,0
2.2,0.0436,0,1.0,0
2.3,0.0436,0,1.0,0
2.4,0.0455,0,1.0,0
2.5,0.0455,0,1.0,0
2.6,0.0455,0,1.0,0
2.7,0.0455,0,1.0,0
2.8,0.0465,0,1.0,0
2.9,0.0465,0,1.0,0
3.0,0.0465,0,1.0,0
3.1,0.0465,0,1.0,0
3.2,0.0472,0,1.0,0
3.3,0.0472,0,1.0,0
3.4,0.0485,0,1.0,0
3.5,0.0485,0,1.0,0
3.6,0.0485,0,1.0,0
3.7,0.0485,0,1.0,0
3.8,0.0495,0,1.0,0
3.9,0.0495,0,1.0,0
4.0,0.0498,0,1.0,0
4.1,0.0498,0,1.0,0
4.2,0.0498,0,1.0,0
4.3,0.0514,0,1.0,0
4.4,0.0514,0,1.0,0
4.5,0.0514,0,1.0,0
4.6,0.0527,0,1.0,0
4.7,0.0527,0,1.0,0
4.8,0.0527,0,1.0,0
4.9,0.0544,0,1.0,0
5.0,0.0544,0,1.0,0
5.1,0.0544,0,1.0,0
5.2,0.0557,0,1.0,0
5.3,0.0557,0,1.0,0
5.4,0.0557,0,1.0,0
5.5,0.0583,0,1.0,0
5.6,0.0583,0,1.0,0
5.7,0.0583,0,1.0,0
5.8,0.0606,0,1.0,0
5.9,0.0606,0,1.0,0
6.0,0.0606,0,1.0,0
6.1,0.0626,0,1.0,0
6.2,0.0626,0,1.0,0
6.3,0.0626,0,1.0,0
6.4,0.0655,0,1.0,0
6.5,0.0655,0,1.0,0
6.6,0.0655,0,1.0,0
6.7,0.0662,0,1.0,0
6.8,0.0662,0,1.0,0
6.9,0.0662,0,1.0,0
7.0,0.0711,0,1.0,0
7.1,0.0711,0,1.0,0
7.2,0.0711,0,1.0,0
7.3,0.0711,0,1.0,0
7.4,0.0711,0,1.0,0
7.5,0.0711,0,1.0,0
7.6,0.0727,0,1.0,0
7.7,0.0727,0,1.0,0
7.8,0.0727,0,1.0,0
7.9,0.0776,0,1.0,0
8.0,0.0776,0,1.0,0
8.1,0.0776,0,1.0,0
8.2,0.0776,0,1.0,0
8.3,0.0776,0,1.0,0
8.4,0.0783,0,1.0,0
8.5,0.0783,0,1.0,0
8.6,0.0832,0,1.0,0
8.7,0.0832,0,1.0,0
8.8,0.0839,0,1.0,0
8.9,0.0839,0,1.0,0
9.0,0.0839,0,1.0,0
9.1,0.0839,0,1.0,0
9.2,0.0875,0,1.0,0
9.3,0.0875,0,1.0,0
9.4,0.0904,0,1.0,0
9.5,0.0904,0,1.0,0
9.6,0.0907,0,1.0,0
9.7,0.0907,0,1.0,0
9.8,0.0927,0,1.0,0
9.9,0.0927,0,1.0,0
10.0,0.0963,0,1.0,0
10.1,0.0963,0,1.0,0
10.2,0.0992,0,1.0,0
10.3,0.0992,0,1.0,0
10.4,0.0992,0,1.0,0
10.5,0.0992,0,1.0,0
10.6,0.0992,0,1.0,0
10.7,0.0992,0,1.0,0
10.8,0.1038,0,1.0,0
10.9,0.1038,0,1.0,0
11.0,0.1074,0,1.0,0
11.1,0.1074,0,1.0,0
11.2,0.1074,0,1.0,0
11.3,0.1074,0,1.0,0
11.4,0.1107,0,1.0,0
11.5,0.1107,0,1.0,0
11.6,0.1143,0,1.0,0
11.7,0.1143,0,1.0,0
11.8,0.1146,0,1.0,0
11.9,0.1146,0,1.0,0
12.0,0.115,0,1.0,0
12.1,0.115,0,1.0,0
12.2,0.1182,0,1.0,0
12.3,0.1182,0,1.0,0
12.4,0.1218,0,1.0,0
12.5,0.1218,0,1.0,0
12.6,0.1218,0,1.0,0
12.7,0.1218,0,1.0,0
12.8,0.1218,0,1.0,0
12.9,0.1218,0,0.833,0
13.0,0.1255,0,0.833,0
13.1,0.1255,0,0.833,0
13.2,0.1297,0,0.833,0
13.3,0.1297,0,0.833,0
13.4,0.1297,0,0.833,0
13.5,0.1297,0,0.833,0
13.6,0.1333,0,0.833,0
13.7,0.1333,0,0.833,0
13.8,0.1333,0,0.833,0
13.9,0.1333,0,0.833,0
14.0,0.1379,0,0.667,0
14.1,0.1379,0,0.667,0
14.2,0.1392,0,0.667,0
14.3,0.1392,0,0.667,0
14.4,0.1428,0,0.667,0
14.5,0.1428,0,0.667,0
14.6,0.1431,0,0.667,0
14.7,0.1431,0,0.667,0
14.8,0.1474,0,0.667,0
14.9,0.1474,0,0.667,0
15.0,0.1497,0,0.667,0
15.1,0.1497,0,0.667,0
15.2,0.1497,0,0.667,0
15.3,0.1497,0,0.667,0
15.4,0.1526,0,0.667,0
15.5,0.1526,0,0.667,0
15.6,0.1549,0,0.667,0
15.7,0.1549,0,0.667,0
15.8,0.1549,0,0.667,0
15.9,0.1549,0,0.667,0
16.0,0.1579,1,0.667,0
16.1,0.1579,1,0.667,0
16.2,0.1615,1,0.667,0
16.3,0.1615,1,0.667,0
16.4,0.1631,1,0.667,0
16.5,0.1631,1,0.667,0
16.6,0.1631,1,0.667,0
16.7,0.1631,1,0.667,0
16.8,0.1661,1,0.667,0
16.9,0.1661,1,0.667,0
17.0,0.1684,1,0.667,0
17.1,0.1684,1,0.667,0
17.2,0.1703,1,0.667,0
17.3,0.1703,1,0.667,0
17.4,0.1703,1,0.667,0
17.5,0.1703,1,0.667,0
17.6,0.1762,1,0.667,0
17.7,0.1762,1,0.667,0
17.8,0.1762,1,0.667,0
17.9,0.1762,1,0.667,0
18.0,0.1782,1,0.667,0
18.1,0.1782,1,0.667,0
18.2,0.1782,1,0.667,0
18.3,0.1782,1,0.667,0
18.4,0.1864,1,0.667,0
18.5,0.1864,1,0.667,0
18.6,0.1883,1,0.667,0
18.7,0.1883,1,0.667,0
18.8,0.1883,1,0.667,0
18.9,0.1883,1,0.667,0
19.0,0.1926,1,0.667,0
19.1,0.1926,1,0.667,0
19.2,0.1942,1,0.667,0
19.3,0.1942,1,0.667,0
19.4,0.1942,1,0.667,0
19.5,0.1942,1,0.667,0
19.6,0.1942,1,0.667,0
19.7,0.1942,1,0.667,0
19.8,0.2008,1,0.667,0
19.9,0.2008,1,0.667,0
20.0,0.2034,1,0.667,0
20.1,0.2034,1,0.667,0
20.2,0.2034,1,0.667,0
20.3,0.2034,1,0.667,0
20.4,0.207,1,0.667,0
20.5,0.207,1,0.667,0
20.6,0.2119,1,0.667,0
20.7,0.2119,1,0.667,0
20.8,0.2119,1,0.667,0
20.9,0.2119,1,0.667,0
21.0,0.2172,1,0.667,0
21.1,0.2172,1,0.667,0
21.2,0.2172,1,0.667,0
21.3,0.2172,1,0.667,0
21.4,0.2208,1,0.667,0
21.5,0.2208,1,0.667,0
21.6,0.2208,1,0.667,0
21.7,0.2208,1,0.667,0
21.8,0.2208,1,0.667,0
21.9,0.2208,1,0.667,0
22.0,0.226,1,0.667,0
22.1,0.226,1,0.667,0
22.2,0.2322,1,0.667,0
22.3,0.2322,1,0.667,0
22.4,0.2345,1,0.667,0
22.5,0.2345,1,0.667,0
22.6,0.2345,1,0.667,0
22.7,0.2345,1,0.667,0
22.8,0.2385,1,0.667,0
22.9,0.2385,1,0.667,0
23.0,0.2407,1,0.667,0
23.1,0.2407,1,0.667,0
23.2,0.2437,1,0.667,0
23.3,0.2437,1,0.667,0
23.4,0.2437,1,0.667,0
23.5,0.2437,1,0.5,0
23.6,0.2463,1,0.5,0
23.7,0.2463,1,0.5,0
23.8,0.2506,1,0.5,0
23.9,0.2506,1,0.5,0
24.0,0.2558,1,0.5,0
24.1,0.2558,1,0.5,0
24.2,0.2558,1,0.5,0
24.3,0.2558,1,0.5,0
24.4,0.2561,1,0.5,0
24.5,0.2561,1,0.5,0
24.6,0.2588,1,0.5,0
24.7,0.2588,1,0.5,0
24.8,0.262,1,0.5,0
24.9,0.262,1,0.5,0
25.0,0.2686,1,0.5,0
25.1,0.2686,1,0.5,0
25.2,0.2686,1,0.5,0
25.3,0.2686,1,0.5,0
25.4,0.2706,1,0.5,0
25.5,0.2706,1,0.5,0
25.6,0.2706,1,0.5,0
25.7,0.2706,1,0.5,0
25.8,0.2732,1,0.5,0
25.9,0.2732,1,0.5,0
26.0,0.2787,1,0.5,0
26.1,0.2787,1,0.5,0
26.2,0.2807,1,0.5,0
26.3,0.2807,1,0.5,0
26.4,0.2866,1,0.5,0
26.5,0.2866,1,0.5,0
26.6,0.2896,1,0.5,0
26.7,0.2896,1,0.5,0
26.8,0.2918,1,0.5,0
26.9,0.2918,1,0.5,0
27.0,0.2961,1,0.5,0
27.1,0.2961,1,0.5,0
27.2,0.2984,1,0.5,0
27.3,0.2984,1,0.5,0
27.4,0.2984,1,0.5,0
27.5,0.2984,1,0.5,0
27.6,0.3017,1,0.5,0
27.7,0.3017,1,0.5,0
27.8,0.3027,1,0.5,0
27.9,0.3027,1,0.5,0
28.0,0.3072,1,0.5,0
28.1,0.3072,1,0.5,0
28.2,0.3072,1,0.5,0
28.3,0.3072,1,0.5,0
28.4,0.3118,1,0.5,0
28.5,0.3118,1,0.5,0
28.6,0.3144,1,0.5,0
28.7,0.3144,1,0.5,0
28.8,0.3167,1,0.5,0
28.9,0.3167,1,0.5,0
29.0,0.3167,1,0.5,0
29.1,0.3167,1,0.5,0
29.2,0.3167,1,0.5,0
29.3,0.3167,1,0.5,0
29.4,0.3223,1,0.5,0
29.5,0.3223,1,0.5,0
29.6,0.3269,1,0.5,0
29.7,0.3269,1,0.5,0
29.8,0.3269,1,0.5,0
29.9,0.3269,1,0.5,0
30.0,0.3272,1,0.5,2
30.1,0.3272,1,0.5,2
30.2,0.3272,1,0.5,2
30.3,0.3272,1,0.5,2
30.4,0.3295,1,0.5,2
30.5,0.3295,1,0.5,2
30.6,0.3315,1,0.5,2
30.7,0.3315,1,0.5,2
30.8,0.3315,1,0.5,2
30.9,0.3315,1,0.5,2
31.0,0.3315,1,0.5,2
31.1,0.3315,1,0.5,2
31.2,0.3315,1,0.5,2
31.3,0.3315,1,0.5,2
31.4,0.3341,1,0.5,2
31.5,0.3341,1,0.5,2
31.6,0.3341,1,0.5,2
31.7,0.3341,1,0.5,2
31.8,0.3364,1,0.5,2
31.9,0.3364,1,0.5,2
32.0,0.3387,1,0.5,2
32.1,0.3387,1,0.5,2
32.2,0.3387,1,0.5,2
32.3,0.3387,1,0.5,2
32.4,0.3387,1,0.5,2
32.5,0.3387,1,0.5,2
32.6,0.3406,1,0.5,2
32.7,0.3406,1,0.5,2
32.8,0.3406,1,0.5,2
32.9,0.3406,1,0.5,2
33.0,0.3433,2,0.5,2
33.1,0.3433,2,0.5,2
33.2,0.3433,2,0.5,2
33.3,0.3433,2,0.5,2
33.4,0.3452,2,0.5,2
33.5,0.3452,2,0.5,2
33.6,0.3469,2,0.5,2
33.7,0.3469,2,0.5,2
33.8,0.3469,2,0.5,2
33.9,0.3469,2,0.5,2
34.0,0.3469,2,0.5,2
34.1,0.3469,2,0.5,2
34.2,0.3469,2,0.5,2
34.3,0.3469,2,0.5,2
34.4,0.3482,2,0.5,2
34.5,0.3482,2,0.5,2
34.6,0.3482,2,0.5,2
34.7,0.3482,2,0.5,2
34.8,0.3511,2,0.5,2
34.9,0.3511,2,0.5,2
35.0,0.3515,2,0.5,2
35.1,0.3515,2,0.5,2
35.2,0.3531,2,0.5,2
35.3,0.3531,2,0.5,2
35.4,0.3531,2,0.5,2
35.5,0.3531,2,0.5,2
35.6,0.3531,2,0.5,2
35.7,0.3531,2,0.5,2
35.8,0.3531,2,0.5,2
35.9,0.3531,2,0.5,2
36.0,0.3544,2,0.5,2
36.1,0.3544,2,0.5,2
36.2,0.3544,2,0.5,2
36.3,0.3544,2,0.5,2
36.4,0.3544,2,0.5,2
36.5,0.3544,2,0.5,2
36.6,0.3547,2,0.5,2
36.7,0.3547,2,0.5,2
36.8,0.3547,2,0.5,2
36.9,0.3547,2,0.5,2
37.0,0.3557,2,0.5,2
37.1,0.3557,2,0.5,2
37.2,0.3557,2,0.5,2
37.3,0.3557,2,0.5,2
37.4,0.3557,2,0.5,2
37.5,0.3557,2,0.5,2
37.6,0.3557,2,0.5,2
37.7,0.3557,2,0.5,2
37.8,0.3577,2,0.5,2
37.9,0.3577,2,0.5,2
38.0,0.3577,2,0.5,2
38.1,0.3577,2,0.5,2
38.2,0.3577,2,0.5,2
38.3,0.3577,2,0.5,2
38.4,0.3593,2,0.5,2
38.5,0.3593,2,0.5,2
38.6,0.3616,2,0.5,2
38.7,0.3616,2,0.5,2
38.8,0.3616,2,0.5,2
38.9,0.3616,2,0.5,2
39.0,0.3616,2,0.5,2
39.1,0.3616,2,0.5,2
39.2,0.3619,2,0.5,2
39.3,0.3619,2,0.5,2
39.4,0.3646,2,0.5,2
39.5,0.3646,2,0.5,2
39.6,0.3646,2,0.5,2
39.7,0.3646,2,0.5,2
39.8,0.3646,2,0.5,2
39.9,0.3646,2,0.5,2
40.0,0.3646,2,0.5,2
40.1,0.3646,2,0.5,2
40.2,0.3678,2,0.5,2
40.3,0.3678,2,0.5,2
40.4,0.3682,2,0.5,2
40.5,0.3682,2,0.5,2
40.6,0.3682,2,0.5,2
40.7,0.3682,2,0.5,2
40.8,0.3682,2,0.5,2
40.9,0.3682,2,0.5,2
41.0,0.3691,2,0.5,2
41.1,0.3691,2,0.5,2
41.2,0.3691,2,0.5,2
41.3,0.3691,2,0.5,2
41.4,0.3691,2,0.5,2
41.5,0.3691,2,0.5,2
41.6,0.3705,2,0.5,2
41.7,0.3705,2,0.5,2
41.8,0.3718,2,0.5,2
41.9,0.3718,2,0.5,2
42.0,0.3718,2,0.5,2
42.1,0.3718,2,0.5,2
42.2,0.3718,2,0.5,2
42.3,0.3718,2,0.5,2
42.4,0.3718,2,0.5,2
42.5,0.3718,2,0.5,2
42.6,0.3744,2,0.5,2
42.7,0.3744,2,0.5,2
42.8,0.3744,2,0.5,2
42.9,0.3744,2,0.5,2
43.0,0.3744,2,0.5,2
43.1,0.3744,2,0.5,2
43.2,0.3744,2,0.5,2
43.3,0.3744,2,0.5,2
43.4,0.376,2,0.5,2
43.5,0.376,2,0.5,2
43.6,0.3777,2,0.5,2
43.7,0.3777,2,0.5,2
43.8,0.3783,2,0.5,2
43.9,0.3783,2,0.5,2
44.0,0.3783,2,0.5,2
44.1,0.3783,2,0.5,2
44.2,0.3793,2,0.5,2
44.3,0.3793,2,0.5,2
44.4,0.3793,2,0.5,2
44.5,0.3793,2,0.5,2
44.6,0.3809,2,0.5,2
44.7,0.3809,2,0.5,2
44.8,0.3809,2,0.5,2
44.9,0.3809,2,0.5,2
45.0,0.3822,2,0.5,2
45.1,0.3822,2,0.5,2
45.2,0.3822,2,0.5,2
45.3,0.3822,2,0.5,2
45.4,0.3822,2,0.5,2
45.5,0.3822,2,0.5,2
45.6,0.3983,2,0.5,2
45.7,0.3983,2,0.5,2
45.8,0.3983,2,0.5,2
45.9,0.3983,2,0.5,2
46.0,0.3983,2,0.5,2
46.1,0.3983,2,0.5,2
46.2,0.3983,2,0.5,2
46.3,0.3983,2,0.5,2
46.4,0.3983,2,0.5,2
46.5,0.3983,2,0.5,2
46.6,0.4012,2,0.5,2
46.7,0.4012,2,0.5,2
46.8,0.4029,2,0.5,2
46.9,0.4029,2,0.5,2
47.0,0.4032,2,0.5,2
47.1,0.4032,2,0.5,2
47.2,0.4032,2,0.5,2
47.3,0.4032,2,0.5,2
47.4,0.4032,2,0.5,2
47.5,0.4032,2,0.5,2
47.6,0.4032,2,0.5,2
47.7,0.4032,2,0.5,2
47.8,0.4032,2,0.5,2
47.9,0.4032,2,0.5,2
48.0,0.4032,2,0.5,2
48.1,0.4032,2,0.5,2
48.2,0.4032,2,0.5,2
48.3,0.4032,2,0.5,2
48.4,0.4048,2,0.5,2
48.5,0.4048,2,0.5,2
48.6,0.4048,2,0.5,2
48.7,0.4048,2,0.5,2
48.8,0.4065,2,0.5,2
48.9,0.4065,2,0.5,2
49.0,0.4075,2,0.5,2
49.1,0.4075,2,0.5,2
49.2,0.4098,2,0.5,2
49.3,0.4098,2,0.5,2
49.4,0.4098,2,0.5,2
49.5,0.4098,2,0.5,2
49.6,0.4098,2,0.5,2
49.7,0.4098,2,0.5,2
49.8,0.4098,2,0.5,2
49.9,0.4098,2,0.5,2
50.0,0.4098,2,0.5,2
50.1,0.4098,2,0.5,2
50.2,0.414,2,0.5,2
50.3,0.414,2,0.5,2
50.4,0.414,2,0.5,2
50.5,0.414,2,0.5,2
50.6,0.4153,2,0.5,2
50.7,0.4153,2,0.5,2
50.8,0.4153,2,0.5,2
50.9,0.4153,2,0.5,2
51.0,0.4173,2,0.5,2
51.1,0.4173,2,0.5,2
51.2,0.4179,2,0.5,2
51.3,0.4179,2,0.5,2
51.4,0.4179,2,0.5,2
51.5,0.4179,2,0.5,2
51.6,0.4179,2,0.5,2
51.7,0.4179,2,0.5,2
51.8,0.4216,2,0.5,2
51.9,0.4216,2,0.5,2
52.0,0.4216,2,0.5,2
52.1,0.4216,2,0.5,2
52.2,0.4216,2,0.5,2
52.3,0.4216,2,0.5,2
52.4,0.4216,2,0.5,2
52.5,0.4216,2,0.5,2
52.6,0.4252,2,0.5,2
52.7,0.4252,2,0.5,2
52.8,0.4255,2,0.5,2
52.9,0.4255,2,0.5,2
53.0,0.4265,2,0.5,2
53.1,0.4265,2,0.5,2
53.2,0.4265,2,0.5,2
53.3,0.4265,2,0.5,2
